"titulo","correo","telefono","pagina","descripción"
"Smartdici","contacto@smartdici.com"," 56232165543","www.smartdici.com","Empresa que entrega soluciones tecnológicas a diferentes industrias. En constante crecimiento y aprendizaje, actualmente se encuentran aplicando inteligencia artificial en la Agricultura, Transporte, Telecomunicaciones y Comportamiento de personas."
"Trends Asesorías S.A.","info@trends.cl"," +562 2206 4491","www.trends.cl","El grupo de empresas Trends tiene su base en Chile y opera en variados mercados del resto de América. Sus áreas de negocio abarcan distintos productos y servicios relacionados con Outsourcing, Consultoría, Tecnología, Comercio Electrónico y otros, en rubros como Finanzas, Telecomunicaciones, Salud, Educación, Comunicaciones y más."
"Tinet Soluciones Informáticas S.A.","contacto@tinet.cl"," +56 2 2663 6600","www.tinet.cl","Empresa de servicios de tecnología digital. Brinda soluciones personalizadas y de alto valor para sus clientes."
"Teradata","patricio.llaona@teradata.com"," +562 28629800","www.teradata.com.es","Empresa que ofrece resultados comerciales a través de soluciones tecnológicas en las áreas más importantes: desde la excelencia operativa y la optimización de activos, hasta la experiencia del cliente y la innovación de productos, para financiar la transformación y la mitigación de riesgos."
"Staff Tecnología y Procesos Eirl","consultores@stafftp.com"," +562 2601 4561","www.stafftp.com","Por más de 10 años, han liderado numerosos proyectos de optimización y gestión de servicios TI, mediante la estandarización, monitoreo y mejora continua de procesos tecnológicos y de negocios."
"Synopsys Chile Ltda.","www.synopsys.com"," +562 7146800","simone@synopsys.com","La empresa está a la vanguardia de las tecnologías inteligentes y de seguridad, herramientas avanzadas en el ámbito del diseño, la verificación, la integración de IP y las pruebas de seguridad de aplicaciones de chips de silicio."
"SYA Consultores Asociados Chile S.A.","marketing@syachile.cl"," +56 2 2940 1500","www.syachile.cl","Fundada en 1989, es una compañía experta en tecnologías de misión crítica y continuidad de negocios, con orientación a proveer soluciones integrales, consultoría y diseños de arquitecturas tecnológicas."
"Switch Comunicaciones Ltda.","info@switch.cl"," +562 22999999","www.switch.cl","Empresa chilena que nace en 1988. Proveedora de soluciones tecnológicas para los mercados de medianas y grandes empresas, Switch cuenta con experiencia en el desarrollo de exitosos proyectos tecnológicos en casi toda Latinoamérica.  Cuenta con un equipo humano de expertos en integración de sistemas y redes de comunicación, y una amplia red de partners con las últimas soluciones."
"ST Computación S.A.","www.st.cl"," +562 2372 3200","stcomputacion@gmail.com","Se fundó en 1976 en Santiago de Chile. En sus inicios, los fundadores de la compañía, Hernán Subelman y José Pedro Torres, se dieron cuenta de la relevancia que adquiriría el rubro de la tecnología en el futuro, lo cual los llevó a convertirse en un proveedor especializado en la implementación, capacitación y soporte técnico de Hardware. Hoy parte de los servicios que brindan se han relacionado con las “Soluciones on Demand”."
"Southern Technology Group Ltda.","www.stgchile.cl"," +562 2 392 5000","damaris.cordero@stgchile.cl","Southern Technology Group es una compañía chilena fundada el año 2002 con amplia trayectoria en el mercado de integración de tecnologías de punta, cuenta con gran experiencia en la logística y los procesos empresariales en diversos mercados verticales, tales como venta al por menor, industria y de salud."
"Sistemas Expertos","jaime.araya@sistemasexpertos.cl"," +562 32024575","www.sistemasexpertos.cl","Empresa chilena que desarrolla todo en open source. Su foco principal es el ámbito de la salud, tienen sistemas ERP HIS y de apoyo. En la parte de movilidad, cuenta con sistemas de telemonitoreo de pacientes con máquinas que contienen sensores y así poder controlar a distancia a pacientes con enfermedades crónicas."
"MetricArts","pcofre@metricarts.com"," +562 29489681","www.metricarts.com","MetricArts ofrece soluciones para ciudades inteligentes basadas en dos focos: Foco Transporte, basado en aplicaciones de Visión Computacional para la detección de evasión en el pago; y Foco Ambiental, basado en sensores IoT para la generación de alertas tempranas ambientales, y descubrimiento de patrones para la mejora de políticas públicas asociadas."
"Xenitt","contacto@xenitt.cl"," +56 9512 470 910","http://new.xenitt.cl/","Empresa que apoya a las empresas y ciudades en su proceso de transformación digital, mediante el desarrollo y creación de plataformas web, aplicaciones móviles, dispositivos electrónicos y sensores inteligentes."
"ITSolutions","info@itsolutions.cl"," +562 23610864","www.itsolutions.cl","Empresa cuya innovación (DOM Digital), automatiza y digitaliza los procesos de Edificación y Urbanización en la Dirección de Obras Municipales, permitiendo controlar las solicitudes de inicio a cierre del trámite, manteniendo comunicado al vecino, arquitecto o empresa solicitante. Opera 100% en la nube, es muy flexible, se adapta al tamaño del municipio y permite el llenado en línea de los formularios validando que se cumpla la normativa del Ministerio de Vivienda y Urbanismo."
"Comunidad Feliz","david.pena@comunidadfeliz.cl"," +562 3203 0883","www.comunidadfeliz.cl","Comunidad Feliz es una empresa proveedora de tecnología para edificios y condominios. En un año y medio han trabajado con la empresa 750 edificios y más de 100.000 copropietarios en Chile."
"Edifito","contacto@edifito.com"," +562 29880800","www.edifito.com","Empresa que desarrolla un software que ayuda a ordenar la gestión de recursos de un edificio o condominio. Genera de manera automática el gasto común y las colillas de cobro individual. También ordena y simplifica el cálculo de remuneraciones y realiza de manera automática la generación de más de 20 tipos de informes de gestión."
"Choapa & Cía Software e Ingeniería Limitada","contacto@chosei.cl"," +569 62715019","www.chosei.cl","Empresa de soluciones informáticas enfocada en brindar la mejor atención y cubrir todos los requerimientos de sus clientes, de manera clara, transparente, eficaz y oportuna. La empresa se enfoca en desarrollo software, desarrollo web, posicionamiento SEO y brindar soporte informático personalizado con personal altamente calificado para tales fines."
"ReciclApp","reciclapp.cl"," contacto@reciclapp.cl","","ReciclApp es una aplicación que busca optimizar y mejorar el proceso de reciclado en Chile, uniendo personas que tienen material reutilizable, con recicladores dispuestos a retirar este material y comercializarlo libremente."
"Bikelite","hola@bikelite.cl"," +562 23542280","www.bikelite.cl","Bikelite es una nueva aplicación gratuita, de creación chilena, que busca entregar una solución que todo ciclista busca: encontrar la ruta más segura para llegar a destino. Además, esta herramienta también tiene como objetivo organizar los desplazamientos urbanos sin depender de las ciclovías, generar comunidad entre los ciclistas y motivar a las personas a usar la bicicleta."
"Eplanet","contacto@eplanetchile.com"," +562 26997370","www.eplanetchile.com","Emprendimiento de la Región de Coquimbo, Chile, que nace el año 2016 como un proyecto de innovación, cuyo objetivo es entregar una herramienta de medición y control del uso de los recursos por parte de las personas e instituciones. Su misión es ser la primera herramienta de gestión, planificación e implementación de las normas de eficiencia energética en la región y el país."
"SOSMart Labs","anibalmadrid@sosmartlabs.com"," +569 51372463","www.sosmartlabs.com","Empresa chilena creadora de Soymomo, reloj-GPS-celular que permite a los niños y padres mantenerse en contacto en todo momento, ya que pueden llamar, recibir llamadas y los padres pueden revisar su posición desde la APP gracias al GPS integrado. El dispositivo además cuenta con un botón de pánico que permite solicitar ayuda rápidamente."
"Ediciones del Quijote","contacto@edicionesdelquijote.cl"," +569 79596671","edicionesdelquijote.cl","Ediciones Del Quijote nace orientada a los servicios editoriales, tanto en formato impreso como digital, pero siempre con la visión de incorporar la tecnología a las prácticas cotidianas de lectura y aprendizaje de los niños."
"Kys Soluciones Ltda.","contacto@kys.cl"," +562 24209999","www.kys.cl","Kys Soluciones Ltda. nace en marzo del 2000, con la finalidad de canalizar la experiencia que su socio fundador había adquirido a través de 20 años de desempeño en las áreas de Sistemas y Operaciones en los principales bancos del país. Por su variedad de recursos técnicos, la empresa ofrece su conocimiento y experiencia en el sistema financiero fundado en el éxito de aplicaciones bajo entornos cliente/servidor y Web."
"Ionix SPA","contacto@ionix.cl"," +562 22641588","www.ionix.cl","Ionix es una empresa con presencia regional, fundada en el año 2009, pionera en el desarrollo de soluciones tecnológicas móviles y en el área Fintech. En sus cerca de 8 años de experiencia, Ionix se ha especializado en desarrollar productos móviles para la industria bancaria y financiera latinoamericana."
"Gestran","mauricio.cisterna@gestran.cl"," +562 26882728","www.gestran.cl","Empresa chilena con 12 años de experiencia, creando y prestando servicios de inteligencia transaccional para la industria financiera latinoamericana. La compañía la integran profesionales de vasta experiencia en bancos, servicios financieros y servicios tecnológicos."
"Plantsss","www.plantsss.com"," info@plantsss.com","","Aplicación chilena ideada para todas las personas interesadas en la naturaleza. Creada por Max Delporte en 2013, Plantsss funciona como una verdadera biblioteca virtual de plantas, que también puede ser descargada gratuitamente en el sistema operativo Android."
"Camponectado","contacto@camponectado.com"," 562 32 350 3840","http://www.camponectado.com/","Camponectado es una empresa especializada en colocar sensores dependiendo de las necesidades o de lo que quiera medir el cliente. Uno de sus productos es Raíz Artificial Inteligente, un sistema de control y automatización de cultivos en tiempo real."
"Xmartic","contacto@xmartic.com"," +56 32 3433964","www.xmartic.com/","Xmartic es una empresa especializada en la administración, gestión, supervisión y diseño de plataformas de monitoreo. Una de sus soluciones es Trackit que permite efectuar estudio del flujo y comportamiento de personas, utilizando información que emiten los smartphones, dispositivos wifi, dispositivos bluetooth y, con esta información, convertida en indicadores y estadísticas, dar apoyo al negocio."
"Biopacific","romina.almasia@biopacific.cl"," 562 25265228","http://www.biopacific.cl/","La empresa nace en Santiago de Chile el año 2007, con el objetivo de construir una plataforma de desarrollo biotecnológico sustentable y consciente con el medio ambiente."
"Baobab","mariajose@baobabdiseno.cl"," +56 9 9679 4845","http://www.baobabdiseno.com/","Estudio de diseño boutique orientado a crear valor en las necesidades de sus clientes en sus diversas plataformas de comunicación."
"Brandbook","bernardita@brandbook.cl"," +56 2 22484700","http://www.brandbook.cl/","Agencia que desarrolla marcas diferenciadas, relevantes y consistentes con la fórmula de una expertise integrada, creativa, sorprendente y una estética inspiradora."
"Latincom Telecomunicaciones","contacto@latincom.cl"," +5622 231 71 16","latincom.cl/","Entrega servicios y teléfonos satelitales a través de sus representadas Astrium, Inmarsat e Iridium para los mercados marítimo, terrestre y aéreo, suministrando los equipos terminales y el servicio de capacidad satelital en las bandas L, Ku, Ka y X, de tal manera de satisfacer cualquier demanda de parte de sus clientes."
"Zoco","contacto@zoco.cl"," +569 44556568","www.zoco.cl/","Zoco es un software online de modalidad “SaaS” (Software As A Service) que ayuda a publicar y administrar un negocio en Mercado Libre."
"Actis","contacto@actis.cl"," +56 22 907 2461","www.actis.cl/","Servicios de outsourcing para los diferentes procesos de un proyecto. Cuentan con capital humano para asesorías estratégicas, tácticas y operativas. Desarrollo, construcción e implementación de tecnologías."
"2Brains","info@2brains.cl"," +56 2 3273 1300","www.2brains.cl/","Crean soluciones integrales, combinando experiencia de usuario y desarrollo con equipos dedicados cien por ciento a cada área."
"Adevcom Ltda.","contacto@adevcom.cl"," +562 270 442 06","www.adevcom.cl/","Expertos en el desarrollo de software a medida y especialistas en el desarrollo de sistemas de información geográficos y soluciones móviles empresariales."
"Canal Cero","contacto@canalcero.cl"," +562 3245 2818","canalcero.com/","Compañía especializada en planificación, ejecución y optimización de campañas digitales en diversos formatos y redes. Desarrollo de plataformas web."
"TGI Mobil Systems","info@tgi.cl"," +56 24350310","www.tgi.cl/","Empresa de desarrollo de software con más de 16 años en el mercado, especializados en el desarrollo de soluciones móviles para la gestión empresarial."
"Magnet SpA","contacto@magnet.cl"," +562 2695 8770","www.magnet.cl/","Digitalización de procesos de negocio para empresas de mediano a gran tamaño."
"4Talent","contact@4talent.cl"," +56 9 4569 8307","www.4talent.cl/","Empresa desarrolladora y comercializadora de tecnología para recursos humanos."
"TCIT","contact@tcit.cl"," +56 9 8545 3340","www.tcit.cl/","TCIT nace de la necesidad de las empresas con problemas tecnológicos que no podían haber sido resueltos por la oferta disponible en el mercado: desarrolladores independientes con poco profesionalismo y grandes empresas que resultaban demasiado costosas."
"ComparaOnline","contact@comparaonline.com"," +562 2 483 9100","www.comparaonline.cl","Plataforma web de asesoría financiera."
"Initt","me@angelocares.com"," +569 65882730","initt.xenitt.cl","Initt desarrolla plataformas y sensores para industrias y ciudades inteligentes. Entre los servicios más destacados se encuentra la plataforma en la nube llamada HiveNode que permite conectar diversos sensores para visualizar datos y recibir alertas en tiempo real. Desde el punto de vista del hardware, Initt en alianza con Xelion, ha desarrollado dispositivos que permiten medir variables como ruido, temperatura, humedad, polución, gases y varios otros, los cuales se encuentran validados y empaquetados."
"CAppTime","rnavarro@capp-time.com"," +56 222718048","www.capp-time.com/","Equipo de especialistas con larga trayectoria en la industria, con una mirada orientada al cliente, dispuestos a ayudar a las empresas que requieren apoyo en el diseño, desarrollo, mantención y soporte de software y aplicaciones móviles y sistemas, a través de procesos inteligentes de Consultoría Tecnológica."
"Biometrika","info@biometrika.cl"," +56 2 2402 9772","www.biometrikalatam.com/","Soluciones tecnológicas para realizar el registro, la verificación e identificación de personas y objetos."
"Asimov","contacto@asimov.cl"," +56 2 2465 2021","asimov.cl/","Generación de valor a través del uso de tecnologías avanzadas para conseguir resultados de alto impacto."
"ACL SPA","info@acl.cl"," +56 2 25971710","www.acl.cl/","Empresa chilena con más de 25 años en el mercado tecnológico, ofreciendo servicios integrales de Desarrollo de Software, Profesionales TI, Consultorías y Gestión TI."
"Kibernum","contacto@kibernum.com"," +562 228163500","www.kibernum.com","Nace en 1991 como una empresa de desarrollo de software. En 2016, ya contaba con más de 1500 colaboradores, convirtiéndose en una de las comunidades TI más grandes de Chile. La compañía ha ampliado su oferta de servicios: PMO, Arquitectura empresarial y QA."
"Dell EMC Chile S.A.","paulina.lopeznoriega@emc.com"," +5622 3733100","www.dellemc.com/es-cl/index.htm","Por medio de productos y servicios innovadores, Dell EMC acelera el viaje al cómputo en la nube, ya que ayuda a los departamentos de TI a almacenar, administrar, proteger y analizar el recurso más valioso de cada empresa, que es la información, de manera más ágil, confiable y rentable. Es así como Dell EMC Chile permite a las empresas y a los proveedores de servicios transformar sus operaciones y ofrecer tecnología de la información como servicio (ITaaS)."
"Datactil","roberto.datactil@gmail.com"," 569737814900","www.datactil.com","Empresa de asesorías tecnológicas, aplicadas en sistemas de información y reingeniería de procesos a otras compañías."
"Motion Displays","info@motiondisplays.cl"," +569 83081065","www.motiondisplays.cl/","Empresa conformada por expertos en negocio, en tecnología y en marketing digital. Su tarea es entregar a sus clientes soluciones tecnológicas innovadoras que les permitan mejorar la experiencia de compra, la productividad, reducir los costos de operaciones y aumentar las ventas."
"Trebol-IT","contacto@trebol-it.com"," +562 23628800","www.trebol-it.com/","Trebol-IT ofrece soluciones informáticas integrales, incorporando mayor creatividad, que agregue valor a los procesos de sus clientes."
"LemSystem","contacto@lemsystem.cl"," +562 32 327 5246","www.lemsystem.com/","LemSystem es una empresa de alta tecnología con amplia experiencia en la implementación de sistemas de monitoreo inalámbrico en tiempo real para la medición de variables críticas."
"WiseConn","info@wiseconn.cl"," +56 2 29078586","www.wiseconn.cl/","Empresa líder en telemetría web de agua y energía. También desarrollan soluciones en Chile para monitoreo y control de canales, embalses, humedad, suelo, válvulas inalámbricas, etc."
"Isercon","contacto@isercon.cl"," +562 32 2516744","www.isercon.cl/isercon/","Desarrollan proyectos informáticos y de gestión de alta calidad, enfocados a soluciones globalizadas de carácter innovador."
"Ibermansa","ibermanchile@ibermansa.cl"," +562 28469472","www.geelectromedico.com/","Promueven software de gestión para el mantenimiento y control de equipamiento médico."
"Guadaltel","buzon@guadaltel.com"," +56 226 64 62 63","www.guadaltel.com/","En Guadaltel trabajan desde hace más de 25 años en el desarrollo de soluciones tecnológicas que sirvan de impulso de la sociedad de la información."
"G-Talent","contacto@g-talent.cl"," +562 2763 5900","www.g-talent.cl/","Empresa de servicios de desarrollo de software en todas las plataformas disponibles en el mercado, servicios de soporte de software y hardware, servicios de Outsourcing en el área de TI."
"Grupo Taisa","contacto@grupotaisa.com"," +56 2 2726 4100","www.grupotaisa.com/","Crear los mejores vínculos digitales para entregar la mejor experiencia de usuario y desarrollar el negocio de sus clientes."
"Finmarkets","osalvo@finmarkets.cl"," +562 2 953 65 95","www.finmarkets.cl/","Finmarkets provee soluciones gestionadas web y móviles para diferentes sectores destacando banca, corredores de bolsa, minería, retail, entre otros."
"Dox","contacto@dox.cl"," 56232104810","www.dox.cl/","Dedicados al desarrollo de software, consultoría en ingeniería de software, servicio de administración y soporte de plataforma."
"DataWolke","contacto@datawolke.com"," +56 9 5659 1419","www.datawolke.com/","Datawolke desarrolla soluciones informáticas integrales a través de herramientas y plataformas para generar mayor rentabilidad a las empresas y organizaciones."
"BPO Advisors","contacto@bpo-advisors.net"," +562 3 2317278","bpo-advisors.net/","Creadores de una plataforma de gestión de documentos legales con firma electrónica que permite capturar, almacenar y disponer de todo tipo de documentos electrónicos, permitiendo al cliente gestionar de toda la data contenida en ellos para uso interno y externo, pudiendo agregar atributos como fotos, videos, planos, datos georreferenciados, etc."
"BackSpace","contacto@backspace.cl"," +562 2 246 89 19","backspace.cl/","Compañía que desarrolla software y servicios de Business Intelligence (BI); software y servicios de Business Process Management (BPM) e inteligencia empresarial."
"Apiux","marketing@api-ux.com"," +56 2 3244 5005","www.api-ux.com/","Consultora de tecnología que combina la expertise de modernas arquitecturas de software, herramientas y procesos con foco en la gestión de información y estándares abiertos."
"Alaya","info@alaya.cl"," +56 2 2247 0376","www.alaya.cl/","Empresa que se especializa en desarrollo de software sobre metodología ágil, arquitectura de software, arquitectura empresarial, integración de sistemas y soluciones."
"Akzio","contacto@akzio.cl"," +562 2633 73 17","www.akzio.cl/","Entregan soluciones tecnológicas de calidad que satisfagan y den valor al cliente."
"Opensoft","info@opensoft.cl"," +56 2 2205 3449","www.opensoft.cl/","Con 22 años de experiencia, Opensoft es una compañía consolidada en entregar soluciones de negocio basadas en tecnología web."
"Rezebra Technologies","ventas@rezebra.com"," +562 3224 7823","www.rezebra.cl/site/","Rezebra Technologies es una empresa chilena que se ha especializado por más de 15 años en el desarrollo y operación de soluciones tecnológicas, teniendo su core de negocio en el área de la salud pública y privada."
"Sidekick","contacto@sidekick.cl"," +56 9 4344 0447","www.sidekick.cl/","Diseñan y desarrollan experiencias digitales. Se enfocan en e-commerce, sitios web corporativos, desarrollo a medida e integraciones."
"Sirantic","info@sirantic.cl"," +56 2 2692 4407","www.sirantic.cl/","Empresa joven conformada por profesionales de amplia experiencia en el desarrollo e implementación de sistemas de información para laboratorios clínicos y centros de salud a nivel nacional."
"SoftPatagonia","info@softpatagonia.com"," +56 2 2360 7775","www.softpatagonia.com/","En SoftPatagonia se dedican a prestar servicios tecnológicos orientados a Bussiness Intelligence, Factoría de Software Mobile y de Transformación Digital."
"Grupo Sentte","contacto@gruposentte.cl"," +56 2 299 321 96","www.gruposentte.cl/","Empresa de servicios tecnológicos que crea productos innovadores en el mercado, incorporando herramientas y servicios de vanguardia."
"Geosolve","contacto@geosolve.cl"," +562 28974879","www.geosolve.cl/","Geosolve se especializa en desarrollos a medida basados en SIG (Sistemas de Información Geográfica) de diversos proveedores de la industria, tales como Google Maps, Intergraph, Autodesk, ESRI, MapInfo, Mapserver etc, en diversos mercados."
"Gear Solutions","info@gearsolutions.com"," +569 77795573","www.gearsolutions.cl/","Gear Solutions fue concebida, aplicando el concepto boutique de soluciones informáticas."
"Connectis","contacto@connectis-gs.cl"," +562 29257400","www.connectis-chile.com/","Connectis Chile es una compañía líder en consultoría e integración tecnológica perteneciente al grupo Getronics."
"Advise","contacto@advise.cl"," +562 2 2357057","www.advise.cl/","Advise es una empresa fundada a comienzos del año 2003. Brinda servicios de desarrollo de software, tanto para proyectos a medida, como para proyectos de mantención y soporte."
"Altiuz","hablamos@altiuz.com"," +56 2 2335 2461","altiuz.com/","Multinacional tecnológica de origen chileno, fundada el año 2006, especializada en idear e implementar soluciones de negocios."
"Amisoft","contacto@amisoft.cl"," +562 2 6579800","www.amisoft.cl/","Empresa de servicios de tecnología de la información que brinda apoyo constante a los procesos críticos del negocio de sus clientes."
"Grupo Alma","contacto@grupoalma.cl"," +562 2783 5200","www.grupoalma.cl/","Especialistas en proveer soluciones en TI a grandes empresas e instituciones. Desde 1994, trabajan con el objetivo de proporcionar una respuesta integral a las necesidades de sus clientes."
"Kuvasz Solutions","contacto@kvz.cl"," +562 2870 7000","www.kvz.cl/","Empresa chilena con presencia en el mercado nacional desde el año 2008, dedicada a la implementación de soluciones transaccionales de misión crítica a la medida, que incluye desarrollo de software, monitoreo y soporte con detección temprana de incidentes, consultoría, entre otros."
"Geslim","contacto@geslim.cl"," +562 2714 8757","www.geslim.cl/web/","Empresa líder en Chile en recuperación de licencias médicas, con más de 25 años de experiencia que avalan su forma de trabajo inspirado en una constante investigación."
"Infodesign","info@infodesign.cl"," +562 2635 46 15","www.infodesign.cl/","Infodesign S.A. es una empresa de servicios de ingeniería, enfocada en el diseño, desarrollo, implementación y explotación de aplicaciones computacionales de diferente naturaleza."
"Dimasoft","info@dimasoft.cl"," +562 2205 1018","www.dimasoft.cl/scripts/dim/first.mvc?ct=x&dsp=3","Empresa 100% chilena, que inicia sus actividades el año 1992, orientándose al servicio de desarrollo de software en el ámbito comercial, para entregar soluciones a pequeñas y medianas empresas."
"AQuanta","aquanta@aquanta.cl"," +562 29637200","aquanta.cl/","AQuanta ha estado presente en la industria de las Tecnologías de Informática por más de 20 años, en una exitosa trayectoria que les ha permitido consolidarse en el mercado."
"CNBrokers Consulting","contacto@cnbrokers.cl"," +562 2881 7658","plataformas.tech/cnbrokersTI/","CNBrokers Consulting brinda soluciones integrales de informática a nivel mundial, sobre la base de los servicios y experiencia de CNBrokers Systems Consulting."
"CleanCode","info@cleancode.cl"," +562 2814 7060","www.cleancode.cl/","CleanCode cuenta con un equipo integral de ingenieros que pueden resolver la mayoría de los problemas TI. Además, en una segunda línea, apoya a las empresas a vender más y mejor mediante consultoría y apoyo en las ventas y generación de demanda."
"Asicom Group","icastro@asicom.cl"," +562 2599 5014","www.asicom.com/","Asicom Group es una empresa fundada hace más de 40 años y desde sus orígenes han sido pioneros en el desarrollo de proyectos de Tecnología de la Información, BPO y Soluciones de Gestión Empresarial, orientados a bancos, instituciones financieras, inmobiliarias, registro público y comunicación."
"Cornershop Technologies Inc.","cornershopapp.com/"," danito@cornershopapp.com","","App que hace las compras del supermercado y las lleva al domicilio en una hora."
"S&A Consultores Asociados","marketing@syachile.cl"," +56 2 2940 1500","www.syachile.cl/","S&A Consultores Asociados Chile S.A., fundada en 1989, es una compañía experta en tecnologías de misión crítica y continuidad de negocios, con orientación a proveer soluciones integrales, consultoría y diseños de arquitecturas tecnológicas."
"PlanOK","contacto@planok.com"," +562 24396900","www.planok.com/","Empresa de origen chileno, que desarrolla y vende software como servicios (SaaS) especialista en los sectores Construcción, Inmobiliario y Retail, con presencia comercial en varios países de Latinoamérica."
"Solu4b","contacto@soluforb.com"," +562 2754 4555","www.solu4b.com/","Solu4b es una empresa líder en el mundo de la tecnología y la construcción de plataformas empresariales. Crean ecosistemas digitales optimizados."
"Stacks","cpower@stacks.cl"," +562 2333 46 69","www.stacks.es/","Empresa del sector TIC especializada en el diseño de soluciones orientadas exclusivamente al sector sanitario."
"Policomp","info@policomp.com"," +562 2444 6400","www.policomp.com/","Desde 1994 Policomp está en el mercado de los servicios relacionados con las TI, prestando servicios a diversas empresas en Chile y Latinoamérica."
"Nuwit","contacto@nuwit.com"," +562 2618 42 00","www.nuwit.com/","Empresa chilena con más de 10 años de experiencia, innovando en las estrategias de negocio y utilizando tecnologías de información."
"Nebulan","contacto@nebulan.cl"," +56 226113660","www.nebulan.cl/","Dedicados al desarrollo e implementación de servicios Cloud, cuya finalidad es entregar un servicio fácil, rápido, medible y un soporte integral que colabore con las decisiones estratégicas de sus clientes."
"Last Call","contacto@lastcall.cl"," +562 2202 4490","www.lastcall.cl/","Last Call está conformada por un equipo multidisciplinario de profesionales altamente calificados para ofrecer la mejor solución que sus clientes necesitan en el diseño, recomendación y adquisición de licencias de software por volumen, servicios tecnológicos y soluciones en la nube."
"Manager","comercial@manager.cl"," +56 2 2379 7700","www.manager.cl/","Manager Software S.A es una compañía que apoya el funcionamiento, administración y gestión de las empresas, brindando soluciones tecnológicas que facilitan los procesos críticos de cada organización."
"Laudus","info@laudus.cl"," +5622 687 0100","www.laudus.cl/","Laudus ERP es un software de gestión para pymes que se concentra en la facilidad de uso, herramientas de análisis, e integración de nuevas tecnologías, enfocando su funcionalidad desde el punto de vista del gestor o dueño de la empresa."
"Ixopen","hector.beck@ixopen.cl"," +56 99 731 0022","www.ixopen.cl/","Grupo de profesionales especializados en soluciones tecnológicas para la Gestión de Información Empresarial – EIM Enterprise Information Management y software de código abierto para la integración de aplicaciones, datos y contenidos no estructurados."
"Huenei","info@huenei.com"," +562 25738572","www.huenei.com/index.php/es/home/","Fundada en 1995, es un proveedor de servicios de TI regional. En la actualidad cuenta con más de 250 profesionales con oficinas en Argentina, Chile, México y Estados Unidos."
"DTLNet","contacto@dtlnet.cl"," +562 2632 6809","www.dtlnet.cl/","Empresa con más de 16 años de experiencia de trabajo con el Grupo Santander Chile que cuenta con técnicos y profesionales especializados en las ramas de la programación, análisis y diseño de sistemas informáticos."
